,Taxa de Cruzamento,Taxa de Mutação,Tamanho da População,Número de Gerações,Melhor Aptidão - Média,Melhor Aptidão - Desvio Padrão,Aptidão Média - Média,Aptidão Média - Desvio Padrão
26,1.0,0.01,100,100,3.1364253416654717e-10,2.4411703797317385e-10,0.06772409886913802,0.04963022445373678
15,0.8,0.01,100,25,6.16373651673996e-08,7.580514231247187e-08,0.08769310597137059,0.057267766393617886
23,1.0,0.01,50,100,1.5947253058534727e-06,5.041171096091138e-06,0.097913068643943,0.1278457681476315
25,1.0,0.01,100,50,1.880757929573207e-06,5.9436990225149516e-06,0.11148625197628914,0.04727017557456146
44,0.8,0.05,100,100,0.04024727580144623,0.12727305984909099,0.4858444600735061,0.34925501003705023
7,0.6,0.01,100,50,0.04205383967053189,0.13298591457723843,0.19956019192140212,0.46327721492750806
16,0.8,0.01,100,50,0.04239241498364423,0.13405658170174353,0.24333129858996547,0.4700346227094715
4,0.6,0.01,50,50,0.045087100163826666,0.13908335762848623,0.07774316999031804,0.1592875442146128
42,0.8,0.05,100,25,0.055748419072863785,0.10444164917913702,0.64397960226201,0.557993281132252
17,0.8,0.01,100,100,0.059447714174804475,0.1879901776228107,0.20783865412224264,0.47936286600894046
24,1.0,0.01,100,25,0.0620881067334218,0.19421141492856306,0.21576118814568573,0.44880940272907544
6,0.6,0.01,100,25,0.08257972571209544,0.18050705574652973,0.34033872055870734,0.5188837207283316
21,1.0,0.01,50,25,0.09969998296716058,0.3123048161431684,0.25115741759816307,0.4097787528583152
14,0.8,0.01,50,100,0.10164108373168199,0.31733281686187287,0.26430106399590747,0.5615761997489624
35,0.6,0.05,100,100,0.10344212107466548,0.3271127075816912,0.5812959040757048,0.506166391379559
5,0.6,0.01,50,100,0.10695913774414131,0.3382344903237886,0.21152184365196416,0.41338888457128004
22,1.0,0.01,50,50,0.10696654513386408,0.33822819430536694,0.2256698776121312,0.45227696447921
70,0.8,0.1,100,50,0.1385805909965719,0.20880545445734428,1.0981765053601455,0.5540758520573548
13,0.8,0.01,50,50,0.14205772504080202,0.34176744404946124,0.26764779499484653,0.4406167389314331
8,0.6,0.01,100,100,0.14540672419968362,0.346452953559952,0.3464105659437885,0.5468646353819102
37,0.8,0.05,25,50,0.14801839136231054,0.1606044935422087,0.5657679047993718,0.47527556316870284
33,0.6,0.05,100,25,0.15047079085793175,0.26206645567147957,0.614820848233047,0.553984141594242
69,0.8,0.1,100,25,0.16717006878463261,0.2831272365203287,1.0918949537153122,0.49966380510245517
43,0.8,0.05,100,50,0.1733463749754603,0.3595679489260213,0.739654418617923,0.5665584575338122
53,1.0,0.05,100,100,0.1741592408717975,0.265385711956634,0.781899949119395,0.6198637662431099
51,1.0,0.05,100,25,0.21260111661779862,0.40250065632925375,0.7047095078289477,0.497740440427138
52,1.0,0.05,100,50,0.21983109506248305,0.3307625870551835,0.8864592895716672,0.6800530854206885
12,0.8,0.01,50,25,0.2207338079805031,0.3891495694504687,0.3818638899576888,0.5443214051224669
18,1.0,0.01,25,25,0.22542777535130698,0.33694870278258926,0.34903170979420123,0.4591567340094295
1,0.6,0.01,25,50,0.23393306436363243,0.35052274349470425,0.40321236549456035,0.37964940686137133
79,1.0,0.1,100,50,0.24601232222387362,0.32255796066979775,1.2729401017270239,0.5610096616665601
40,0.8,0.05,50,50,0.2617116985547434,0.4120510353362118,0.8906950210612667,0.7713079826065617
61,0.6,0.1,100,50,0.2686927356799257,0.4154828656636744,1.1811971770148981,0.6048629073709233
30,0.6,0.05,50,25,0.2747893232587274,0.38660474615251983,0.8756751364756832,0.5462005214998183
3,0.6,0.01,50,25,0.27802388674849865,0.4198693159965784,0.5429457637149253,0.654834624475349
49,1.0,0.05,50,50,0.29126101969332446,0.4345819740622606,0.8316585518745068,0.5815597636286356
32,0.6,0.05,50,100,0.3113368659548471,0.41446434674600885,0.9061761350460172,0.7356750174536036
19,1.0,0.01,25,50,0.32764929525161657,0.5096485867532562,0.5079684903313026,0.7132875982602893
60,0.6,0.1,100,25,0.33745699272884844,0.3820818849963318,1.264251211488931,0.6495453839639472
2,0.6,0.01,25,100,0.3395141615215945,0.5051099793010972,0.4501954386626396,0.5513376898584165
80,1.0,0.1,100,100,0.34522534412747463,0.46675217169560373,1.212278696099815,0.6768689487732495
62,0.6,0.1,100,100,0.3461798478356841,0.4296881303460648,1.3082428412298832,0.6813396811183531
31,0.6,0.05,50,50,0.35009154719802965,0.3596657379381386,1.0049342222835658,0.6607374056831347
78,1.0,0.1,100,25,0.3555838201424373,0.4822290470677396,1.2066877673198924,0.5595740246272802
66,0.8,0.1,50,25,0.35714155180956136,0.49562728290266517,1.0865655881101848,0.5041442512479711
10,0.8,0.01,25,50,0.3675309800966887,0.4603344263170157,0.5738792496030782,0.6933203117843302
39,0.8,0.05,50,25,0.3719713692588848,0.39408196730553746,0.9271644931153934,0.7164618942052862
50,1.0,0.05,50,100,0.37257890198875687,0.5067660594329222,0.976607864417674,0.7500987790437368
41,0.8,0.05,50,100,0.3834481555101591,0.46286039821070923,0.9119077567644597,0.46006111155726603
48,1.0,0.05,50,25,0.4038258378194926,0.4880249568534384,1.1217947146385887,0.7709166015781047
34,0.6,0.05,100,50,0.40698445096762415,0.4501820844821459,1.1004640832225365,0.7574026871018746
28,0.6,0.05,25,50,0.41581085235824533,0.43531859031430165,0.8025814154271605,0.5162287376247688
68,0.8,0.1,50,100,0.43303065104144567,0.5369036163653121,1.076990464823605,0.6615575217279865
0,0.6,0.01,25,25,0.44939861997657865,0.47816145470368293,0.6432373580313214,0.6149943451488277
