,Taxa de Cruzamento,Taxa de Mutação,Tamanho da População,Número de Gerações,Melhor Aptidão - Média,Melhor Aptidão - Desvio Padrão,Aptidão Média - Média,Aptidão Média - Desvio Padrão
7,1.0,0.01,200,50,299.2,11.013123484683575,357.5675,47.28526052058929
6,1.0,0.01,100,100,299.4,12.285492799775406,320.594,12.93772279464633
4,0.8,0.01,200,50,302.1,14.62456077213185,333.5425,38.69491477140978
3,0.8,0.01,100,100,302.4,13.599019572503503,319.084,13.023742592323883
0,0.6,0.01,100,100,303.7,17.83909564224973,319.491,18.51858012915677
1,0.6,0.01,200,50,306.9,16.82887729799915,326.875,19.04977865138245
12,0.8,0.05,100,100,314.1,18.417684738074737,525.893,28.631818760874324
9,0.6,0.05,100,100,319.7,24.725380572287346,499.443,18.667631552443318
15,1.0,0.05,100,100,329.9,26.176537416379407,550.923,19.47931783542056
10,0.6,0.05,200,50,340.3,15.613740387520503,535.2665,21.045436170607413
13,0.8,0.05,200,50,349.2,21.719422951205065,569.484,14.12979550846759
21,0.8,0.1,100,100,351.1,26.134056112453898,598.55,7.863503601378272
18,0.6,0.1,100,100,352.1,21.424025972932558,599.071,11.946335979426202
16,1.0,0.05,200,50,354.9,33.89018212468685,592.02,13.998064350314843
5,0.8,0.01,500,20,356.9,24.41060789447444,539.1852,9.748464731547319
8,1.0,0.01,500,20,363.1,16.522375400918868,573.4073999999999,6.04551367544562
2,0.6,0.01,500,20,364.1,15.423286866870425,512.468,7.768946446519566
24,1.0,0.1,100,100,370.3,20.693799393377073,613.901,4.759144297501874
11,0.6,0.05,500,20,371.6,24.40491753725056,581.5174,4.977982906983722
19,0.6,0.1,200,50,378.0,22.588099128129887,607.1675,7.816202633703353
22,0.8,0.1,200,50,379.7,25.10002213367771,617.7335,5.907626920628397
14,0.8,0.05,500,20,386.3,15.762473015220536,598.8156,7.068549170641588
17,1.0,0.05,500,20,386.9,18.793911543665175,609.4864,5.315776502282828
25,1.0,0.1,200,50,390.0,22.886191858362498,622.398,5.663368255729085
20,0.6,0.1,500,20,396.7,20.30900183552987,617.6795999999999,3.242331232650719
26,1.0,0.1,500,20,396.8,18.641649903136553,628.2854,2.832868989401225
23,0.8,0.1,500,20,399.3,18.318478830587072,625.4024,2.6719710244603214
