,Topologia,Influência da velocidade (w),Influência cognitiva (c1),Influência social (c2),Melhor Aptidão - Média,Melhor Aptidão - Desvio Padrão,Aptidão Média - Média,Aptidão Média - Desvio Padrão,Número de iterações - Média
62,global,0.1,2.0,2.0,1.1546319456101628e-15,1.4979556132593924e-15,8.538187766617966e-07,2.448990186151845e-06,82.5
63,global,0.5,0.5,0.5,1.1546319456101628e-15,1.4979556132593924e-15,1.7454482303946862e-14,1.997834807039375e-14,99.8
66,global,0.5,1.0,0.5,1.1546319456101628e-15,1.4979556132593924e-15,5.46123146705213e-12,1.62117365896796e-11,100.5
59,global,0.1,1.0,2.0,1.5099033134902129e-15,1.7161237463612904e-15,1.7159607068606419e-15,1.737870620960036e-15,77.6
64,global,0.5,0.5,1.0,2.575717417130363e-15,1.8346134549116837e-15,2.789164454952697e-13,5.211901046653866e-13,102.4
67,global,0.5,1.0,1.0,2.930988785010413e-15,1.7161237463612904e-15,4.56690685268768e-13,5.849317683320954e-13,103.6
69,global,0.5,2.0,0.5,3.641531520770513e-15,2.6214223232039368e-15,1.1892411567515637e-08,2.2009329766166468e-08,107.3
12,focal,0.5,1.0,0.5,5.062616992290714e-15,3.76356689980419e-15,4.5633299805558634e-11,1.1248356596121398e-10,112.7
15,focal,0.5,2.0,0.5,9.325873406851315e-15,6.096237672292541e-15,4.316587542234629e-07,1.3491984703940172e-06,116.8
65,global,0.5,0.5,2.0,9.681144774731365e-15,6.084724465279658e-15,3.8508929378622274e-11,4.2941326355566874e-11,112.4
13,focal,0.5,1.0,1.0,2.069455717901292e-14,1.580414163551158e-14,1.8598100837152744e-13,1.0019689666567443e-13,120.5
70,global,0.5,2.0,1.0,2.2826185386293218e-14,2.1385251041784098e-14,2.7955602632800946e-10,3.893418129170965e-10,112.8
8,focal,0.1,2.0,2.0,4.911626660941692e-14,6.957939325740319e-14,5.4634284651911e-10,1.3583466878478337e-09,122.8
10,focal,0.5,0.5,1.0,6.830092047493964e-14,5.6334135574952384e-14,3.5654679209073945e-13,3.110801554825893e-13,123.8
16,focal,0.5,2.0,1.0,1.4148682225822996e-13,1.5691978791704618e-13,1.1696659640847429e-11,1.0441961489684292e-11,127.1
11,focal,0.5,0.5,2.0,3.2516211945221587e-13,2.9651008809569986e-13,5.316834972290963e-12,4.529076578380735e-12,138.3
14,focal,0.5,1.0,2.0,4.2996717297683065e-13,5.226997201901363e-13,4.875299097761854e-11,1.1614747391331421e-10,138.7
71,global,0.5,2.0,2.0,1.5810464049081928e-12,1.413141158506329e-12,1.619187031010938e-06,2.6856155669917867e-06,134.1
40,ring,0.5,1.0,1.0,1.7089440973450109e-12,2.406280743089419e-12,8.694920445861953e-10,7.776410466134593e-10,153.9
17,focal,0.5,2.0,2.0,3.366995571241205e-12,2.8623631049130834e-12,3.1267618103925085e-07,4.2462377631074186e-07,157.1
37,ring,0.5,0.5,1.0,3.4799718662270606e-12,7.586355534095819e-12,4.4118120001712666e-10,6.569102494751092e-10,164.5
41,ring,0.5,1.0,2.0,7.336087293197125e-12,5.2580521983909995e-12,2.5654630277927025e-09,3.632082225004068e-09,181.5
38,ring,0.5,0.5,2.0,1.1038014946507247e-11,1.0101945556853664e-11,1.0577999098870806e-09,1.8037969318290548e-09,180.9
43,ring,0.5,2.0,1.0,1.1450129733248105e-11,1.765761632615958e-11,3.827302020198431e-09,1.1217565279963651e-08,174.3
44,ring,0.5,2.0,2.0,6.429603516266979e-11,4.247584230961344e-11,4.57313579680374e-08,5.912751763710618e-08,243.4
29,ring,0.1,0.5,2.0,1.7196279955555837e-10,2.672008780947946e-10,2.129936437000879e-09,2.0661088689016424e-09,303.9
35,ring,0.1,2.0,2.0,2.2976864855195345e-10,1.698704587040566e-10,9.40700526896876e-09,1.447485317685837e-08,323.8
32,ring,0.1,1.0,2.0,4.055118019152815e-10,6.258695725160592e-10,3.037729698007752e-09,3.2492933089063164e-09,279.3
9,focal,0.5,0.5,0.5,3.1112201381322536e-05,6.899849091334538e-05,3.111220158977091e-05,6.89984910012308e-05,123.2
57,global,0.1,1.0,0.5,3.5398902173700006e-05,7.405478540565126e-05,0.004155708328665951,0.013040073543887426,112.2
60,global,0.1,2.0,0.5,6.009926899368523e-05,0.0001621816460580446,0.027147841543703127,0.028326365267195223,134.5
36,ring,0.5,0.5,0.5,0.0001315807115987333,0.0003225040196072838,0.00014698837620787586,0.0003233857381892453,457.5
39,ring,0.5,1.0,0.5,0.00025689991021922155,0.0007981207504946132,0.00026122328761979223,0.0008062715116057252,427.5
42,ring,0.5,2.0,0.5,0.0004768863799776035,0.0015003997632384344,0.0005243516910675971,0.001541569498026198,372.5
54,global,0.1,0.5,0.5,0.0008749799767092447,0.00244022169394219,0.0008749799768770821,0.002440221694250582,98.7
